nodo,direccion,valor_kN
602039,comp_5,-14.950557
602040,comp_0,-0.074084
602040,comp_1,-12.333471
602040,comp_2,0.0
602040,comp_3,0.0
602040,comp_4,-0.0
602040,comp_5,-11.460513
602043,comp_0,0.146891
602043,comp_1,-12.333471
602043,comp_2,0.0
602043,comp_3,0.0
602043,comp_4,-0.0
602043,comp_5,-11.460513
603000,comp_0,-1.717119
603000,comp_1,-5.58256
603000,comp_2,0.0
603000,comp_3,-0.0
603000,comp_4,-0.0
603000,comp_5,-0.855489
603001,comp_0,-9.705226
603001,comp_1,-4.501697
603001,comp_2,-0.0
603001,comp_3,0.0
603001,comp_4,-38.607785
603001,comp_5,-0.855489
603002,comp_0,-1.961436
603002,comp_1,-5.26769
603002,comp_2,-239.82634
603002,comp_3,2.576975
603002,comp_4,-9.139478
603002,comp_5,-0.851524
603003,comp_0,-2.209198
603003,comp_1,-5.553932
603003,comp_2,0.0
603003,comp_3,-0.0
603003,comp_4,0.0
603003,comp_5,-0.851524
603004,comp_0,-15.254099
603004,comp_1,-2.01064
603004,comp_2,-0.0
603004,comp_3,10.596203
603004,comp_4,13.228139
603004,comp_5,-0.052482
603005,comp_0,0.0
603005,comp_1,-10.596203
603005,comp_2,-13.228139
603005,comp_3,0.0
603005,comp_4,93.586254
603005,comp_5,-16.159209
603006,comp_0,0.0
603006,comp_1,-0.0
603006,comp_2,19.303893
603006,comp_3,0.0
603006,comp_4,0.0
603006,comp_5,-0.0
603007,comp_0,239.82634
603007,comp_1,-2.576975
603007,comp_2,9.139478
603007,comp_3,-26.637653
603007,comp_4,169.747066
603007,comp_5,-4.824585
603008,comp_0,0.513568
603008,comp_1,-0.12788
603008,comp_2,77.692232
603008,comp_3,72.979872
603008,comp_4,-358.480756
603008,comp_5,6.962573
603009,comp_0,-18.2691
603009,comp_1,-0.263031
603009,comp_2,-0.513568
603009,comp_3,0.12788
603009,comp_4,-77.692232
603009,comp_5,-0.052482
603010,comp_0,-29.648102
603010,comp_1,1.34716
