tipo,elemento,nodo,componente,valor
local,71,-,comp_4,35.55418
local,71,-,comp_5,0.0
local,71,-,comp_6,0.0
local,71,-,comp_7,0.0
local,71,-,comp_8,10.278777
local,71,-,comp_9,0.336805
local,71,-,comp_10,38.966954
local,71,-,comp_11,0.0
local,72,-,comp_0,0.0
local,72,-,comp_1,0.0
local,72,-,comp_2,-0.625235
local,72,-,comp_3,0.270037
local,72,-,comp_4,3.927824
local,72,-,comp_5,0.0
local,72,-,comp_6,0.0
local,72,-,comp_7,-0.0
local,72,-,comp_8,0.625235
local,72,-,comp_9,-0.270037
local,72,-,comp_10,1.63677
local,72,-,comp_11,0.0
local,73,-,comp_0,0.0
local,73,-,comp_1,0.0
local,73,-,comp_2,-0.589721
local,73,-,comp_3,-0.110187
local,73,-,comp_4,1.45453
local,73,-,comp_5,0.0
local,73,-,comp_6,0.0
local,73,-,comp_7,0.0
local,73,-,comp_8,0.589721
local,73,-,comp_9,0.110187
local,73,-,comp_10,2.820949
local,73,-,comp_11,0.0
local,74,-,comp_0,0.0
local,74,-,comp_1,0.0
local,74,-,comp_2,-0.901843
local,74,-,comp_3,-3.261748
local,74,-,comp_4,6.040776
local,74,-,comp_5,0.0
local,74,-,comp_6,0.0
local,74,-,comp_7,-0.0
local,74,-,comp_8,0.901843
local,74,-,comp_9,3.261748
local,74,-,comp_10,1.985628
local,74,-,comp_11,0.0
local,75,-,comp_0,0.0
local,75,-,comp_1,0.0
local,75,-,comp_2,-4.068985
local,75,-,comp_3,1.157679
local,75,-,comp_4,15.662809
local,75,-,comp_5,0.0
local,75,-,comp_6,0.0
local,75,-,comp_7,0.0
local,75,-,comp_8,4.068985
local,75,-,comp_9,-1.157679
local,75,-,comp_10,13.837329
local,75,-,comp_11,0.0
local,76,-,comp_0,0.0
local,76,-,comp_1,0.0
local,76,-,comp_2,13.828428
local,76,-,comp_3,-28.44375
local,76,-,comp_4,-20.715318
local,76,-,comp_5,0.0
local,76,-,comp_6,0.0
