nodo,direccion,valor_kN
80,comp_2,2.4584778657299466e-12
80,comp_3,-1.4210854715202004e-14
80,comp_4,2.1366242108911138e-13
80,comp_5,0.0677606908486378
82,comp_0,20.88137780287347
82,comp_1,-12.330361085463746
82,comp_2,-1.4375167722846527e-12
82,comp_3,4.085620730620576e-14
82,comp_4,2.3647750424515834e-13
82,comp_5,-0.03326429683772428
84,comp_0,2.9549110930504625
84,comp_1,-5.094981351626974
84,comp_2,1767.4712118729085
84,comp_3,6.704952156749422
84,comp_4,-0.9543851268005827
84,comp_5,-0.0007673618288427359
86,comp_0,-12.43844933624494
86,comp_1,-2.216533260727236
86,comp_2,8.304468224196171e-14
86,comp_3,0.0
86,comp_4,5.936917624183025e-14
86,comp_5,-0.03372903218206837
87,comp_0,-120.24391544456999
87,comp_1,-5.909681287568518
87,comp_2,2.4424906541753444e-13
87,comp_3,0.0
87,comp_4,5.861977570020827e-13
87,comp_5,0.06776069084863628
89,comp_0,137.0045680649905
89,comp_1,10.133109846539218
89,comp_2,-1.1546319456101628e-14
89,comp_3,1.4210854715202004e-14
89,comp_4,8.100187187665142e-13
89,comp_5,-0.03326429683772743
91,comp_0,-4.322203284175571
91,comp_1,-2.0068952982434642
91,comp_2,1003.7111093845423
91,comp_3,2.6328125020614657
91,comp_4,-10.55349979845703
91,comp_5,-0.0007673618288427359
93,comp_0,-27.9655718584058
93,comp_1,0.2174410004257386
93,comp_2,1.2003731342247193e-12
93,comp_3,1.7763568394002505e-15
93,comp_4,-7.738254481637341e-14
93,comp_5,-0.03372903218206839
94,comp_0,-157.66454686647256
94,comp_1,-0.4110682559661809
94,comp_2,-2.2444268665822165e-12
94,comp_3,-4.618527782440651e-14
94,comp_4,3.2152058793144533e-13
94,comp_5,0.06776069084863665
96,comp_0,188.81877886210913
96,comp_1,0.8734922053481255
96,comp_2,9.405809464624326e-13
96,comp_3,-3.552713678800501e-14
96,comp_4,3.526068326209497e-13
96,comp_5,-0.03326429683772616
98,comp_0,-3.188660137230777
98,comp_1,-0.6798649498076828
98,comp_2,1699.718763821919
98,comp_3,0.8811324421262346
98,comp_4,-9.060219947929152
98,comp_5,-0.0007673618288427359
100,comp_0,-17.203658099233643
100,comp_1,3.050928749198131
100,comp_2,4.82280881897168e-13
100,comp_3,3.197442310920451e-14
100,comp_4,-5.129230373768223e-14
100,comp_5,-0.03372903218206847
101,comp_0,-140.08627550839438
101,comp_1,5.5169732887208465
101,comp_2,1.9584334154387761e-13
101,comp_3,4.973799150320701e-14
101,comp_4,-1.3300471835009375e-13
101,comp_5,0.06776069084863746
103,comp_0,154.16241293138074
103,comp_1,-9.452289243440376
103,comp_2,-1.9668711104259273e-12
103,comp_3,-3.907985046680551e-14
103,comp_4,6.847855615887966e-13
103,comp_5,-0.03326429683772498
105,comp_0,3.127520676247276
105,comp_1,0.8843872055213989
105,comp_2,999.6984113747941
105,comp_3,-1.1836804029081531
105,comp_4,-0.726540476980789
105,comp_5,-0.0007673618288427359
107,comp_0,-26.31867969075161
107,comp_1,0.16759596865720644
107,comp_2,-1.0662581928500003e-12
107,comp_3,-4.085620730620576e-14
107,comp_4,-8.861819264516235e-12
107,comp_5,-0.033729032182068595
108,comp_0,175.48102818767492
108,comp_1,-7.115717331426946
108,comp_2,7.789324740770098e-13
108,comp_3,-6.217248937900877e-14
108,comp_4,-1.7785772854495008e-13
108,comp_5,0.0677606908486365
110,comp_0,-149.74199237941124
110,comp_1,8.774812014844581
110,comp_2,-1.531219595563016e-12
110,comp_3,4.39648317751562e-14
110,comp_4,-1.4770407119613083e-12
110,comp_5,-0.033264296837727886
112,comp_0,0.5796438824879303
112,comp_1,-1.826690652074843
112,comp_2,956.856068423456
112,comp_3,2.3970093370080243
112,comp_4,-4.083061538461209
112,comp_5,-0.0007673618288427359
114,comp_0,-33.56754202477939
114,comp_1,0.16169489812969873
114,comp_2,1.0915579551351584e-10
114,comp_3,-1.5987211554602254e-14
114,comp_4,-1.766542467862564e-11
114,comp_5,-0.03372903218206861
